Project Name,Owner,Developer,TCAD ID,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C. of O. Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount,% of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,772787,5929 Lux Street,78721,3,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009,40,11/11/2049,,,,,0,0,0,1,0,0,0,0,$160687.50,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.258630468790599, -97.684129443252999)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,772770,1129 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009,40,11/11/2049,,,,,0,0,0,2,0,0,0,0,$160687.50,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
SOL,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,772771,1133 Altum Street,78702,1,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Building Permit Issued / Project Underway,11/11/2009,40,11/11/2049,,,,,0,0,0,2,0,0,0,0,$160687.50,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2703971161874, -97.717319818588706)"
7314 Meador Avenue,Neighborhood Housing Services of Austin,Neighborhood Housing Services of Austin,230488,7314 Meador Avenue,78752,4,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,10/16/2012,20,10/16/2032,,,,,0,0,2,0,0,0,0,0,$231250.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.331487152648101, -97.695256354234999)"
Ivy Condos - Acq of 10 Units (2/5/13),"ESCT Austin Housing III, Inc.",Easter Seals of Central Texas,753856,3204 Manchaca Road,78704,5,High,1/4 Mile,10,10,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,02/15/2013,99,02/15/2012,,,,,0,0,10,0,0,0,0,0,$705307.00,149.83%,No,No,No,No,No,No,No,No,No,No,"(30.240275740263598, -97.782668760111804)"
Villita Avenida 4-Home NC,Undisclosed,American Youthworks,721296,6914 Villita Avenida,78741,3,Very Low,1/4 Mile,4,4,Single Family,A&D,Ownership,Project Complete / Final C.of O. Received,02/11/2015,1,02/11/2016,,,,,0,0,0,0,0,4,0,0,$102500.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.230401264492802, -97.690387859024)"
St. James Apartments,Burlington Ventures Inc.,Burlington Ventures,845598,5514 Roosevelt Avenue,78756,7,Very Low,1/4 Mile,9,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,02/15/2014,5,02/15/2019,02/16/2012,02/15/2014,,,0,0,0,0,0,2,0,7,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.326938382395198, -97.732969950094699)"
2201 SL Davis Avenue,"Jim Rath, Owner","Jim Rath, Owner",847019,2201 S L Davis Avenue,78702,1,Very Low,1/4 Mile,2,2,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/05/2013,5,11/05/2018,05/04/2012,11/05/2013,,,0,0,1,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.270890000000001, -97.716105999999996)"
The Paddock at Norwood,"LDG Norwood, LP",LDG Norwood,546480,1044 Norwood Park Boulevard,78753,4,Moderate,1/4 Mile,228,228,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,07/14/2014,5,07/14/2019,10/17/2012,07/14/2014,,,0,0,0,228,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.336546703188901, -97.691552328313705)"
Mueller Section 7-C,David Weekly Homes,David Weekly Homes,831672,4011 Vaughan Street,78723,9,Moderate,1/4 Mile,128,32,Single Family,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,1,,05/06/2014,,,,0,0,0,0,0,32,0,96,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.291838968533199, -97.6972523339616)"
Scenic Point II - Phase II,Austin Habitat for Humantiy,Austin Habitat for Humanity,223085,7613 Compass Drive,78724,1,Very Low,Neither,67,67,Single Family,Developer Incentive,Ownership,Site Plan Approved / Project Underway,,1,,05/02/2014,,,,0,0,0,0,0,67,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.310509436146301, -97.639655260603405)"
WBP Apartments,AMTEX,AMTEX,506097,1114 Wells Branch Parkway,78660,7,Low,1/4 Mile,240,240,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,07/24/2014,,,,0,0,58,0,0,182,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.439530610635099, -97.659963311762098)"
The District at SoCO,"District at SoCo, LLC","District at SoCo, LLC",307027,501 E Oltorf Street,78704,9,Moderate,1/4 Mile,215,22,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/12/2012,5,12/12/2017,02/21/2008,10/12/2012,,,0,0,0,0,0,22,0,193,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2370632451874, -97.750966361316401)"
RMMA,Muskin Cummins Partnership LLP,The Muskin Cummins LLP,831807,3800 Tillery Street,78702,3,Very Low,1/4 Mile,4,1,Single Family,Developer Incentive,Ownership,Project Complete / Final C.of O. Received,07/08/2015,1,07/08/2016,06/06/2014,07/08/2015,,,0,0,0,0,0,1,0,3,$0.00,0%,No,No,No,Yes,No,No,Yes,No,No,No,"(30.263028450885098, -97.703861363714196)"
Rio Lado Apartments,Fort Creek Housing LP,Fort Creek Housing LP,210796,2989 E 51st Street,78723,1,Very Low,1/4 Mile,128,121,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,07/24/2014,,,,0,0,45,76,0,0,0,7,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.296394371389901, -97.684318847303899)"
Housing First Oak Springs,Austin Travis County Integral Care,Austin Travis County Integral Care,432700,3000 Oak  Springs Drive,78702,1,Very Low,1/4 Mile,50,50,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,11/07/2014,,,,50,0,0,0,0,0,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2735221853269, -97.7005660266436)"
Philips-Evans & Johnson,Phillips-Evans & Johnson,Philips-Evans & Johnson,193932,1215 Arthur Stiles Road,78721,3,Very Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,11/20/2014,,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.2617249783709, -97.677203467045203)"
KAPASI,Hanna & Mansoor Kapasi,"Mansoor Kapasi , Owner",207481,3208 Merrie Lynn Avenue,78722,9,Low,1/4 Mile,1,1,Single Family,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/18/2015,5,11/18/2020,11/20/2014,11/18/2015,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.286187739275999, -97.7125136859935)"
SAMdorosa,SAMdorosa Communities LLC,SAMdorosa LLC,325850,6700 Manchaca Road,78745,5,Low,1/4 Mile,14,2,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,04/28/2015,,,,0,0,0,0,0,2,0,12,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.206387642187401, -97.806869542275393)"
2112 E 8th Street,Blackshear Neighborhood Development Corporation,Blackshear Neighborhood Development Corporation,193431,2112 E 8th Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,02/20/2009,99,02/20/2008,11/17/2008,08/19/2016,,,0,0,1,0,0,0,0,0,$257105.00,54.38%,No,No,No,No,No,No,Yes,No,No,No,"(30.262819628827099, -97.718184673048995)"
Skyline Terrace,"Foundation Communities, Inc.","Foundation Communities, Inc.",311231,1212 W Ben White Boulevard,78704,5,Low,1/4 Mile,100,100,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,06/27/2008,40,06/27/2048,,,,,0,0,100,0,0,0,0,0,$3516850.00,206.24%,No,No,No,No,No,No,No,No,No,No,"(30.228236126783798, -97.778178120265196)"
Edgecreek Condos,Frameworks Community Development Corporation,Frameworks Community Development Corporation,733261,12166 Metric Boulevard,78758,7,Moderate,Neither,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014,99,07/31/2012,,,,,0,0,2,0,0,0,0,0,$82583.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.406791193756899, -97.697861726688302)"
4904 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,509857,4904 West Wind Trail,78745,5,Moderate,1/4 Mile,4,3,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,11/14/2014,99,11/14/2013,,,,,0,0,3,0,0,0,0,1,$187000.00,212.62%,No,No,No,No,No,No,No,No,No,No,"(30.227441125895599, -97.8033852378787)"
4902 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,509856,4902 West Wind Trail,78745,5,Moderate,1/4 Mile,4,1,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,04/13/2015,99,04/13/2014,,,,,0,0,1,0,0,0,0,3,$154002.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.2276424167489, -97.803272281604293)"
Westgate Grove (aka Westgate I Subdivision),"Westgate Momark, LLC",HomeBase Texas,575212,2903 Cameron Loop,78745,5,High,1/4 Mile,50,50,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,,,03/17/2009,,,,0,0,0,0,0,50,0,0,$1815300.00,285.98%,No,No,No,No,No,No,Yes,No,No,No,"(30.193496131243901, -97.829342234682002)"
9215 Kempler Drive,Accessible Housing Austin!,Accessible Housing Austin!,342001,9215 Kempler Drive,78748,5,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,04/22/2016,99,04/22/2015,,,,,2,0,0,0,0,0,0,0,$220880.00,94.93%,No,No,No,No,No,No,No,No,No,No,"(30.180652347617599, -97.821501988397202)"
2106 Chicon Street,Blackland Community Development Corporation,Blackland Community Development Corporation,202248,2106 Chicon Street,78722,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,12/01/2014,99,12/01/2013,,,,,0,0,1,0,0,0,0,0,$12850.00,0%,No,No,No,No,No,No,No,No,No,No,"(30.282412839830801, -97.722010728160001)"
Cross Creek Apartments,TMG - TX Austin II,"The Muholland Group, LLC",249159,1124 Rutland Drive,78758,4,Very Low,1/4 Mile,200,200,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,07/01/2014,40,07/01/1954,01/31/2014,,,,20,0,0,180,0,0,0,0,$2000000.00,956.57%,No,No,No,No,No,No,Yes,No,No,No,"(30.368711351997099, -97.703720401279398)"
Homestead Oaks,"Foundation Communities, Inc.","Foundation Communities, Inc.",346937,3226 W Slaughter Lane,78748,5,Moderate,Neither,140,126,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,09/06/2013,40,09/06/1953,02/13/2013,03/18/2016,,,14,0,70,42,0,0,0,14,$3250000.00,711.88%,No,No,No,No,No,No,Yes,No,No,No,"(30.181532089830899, -97.844720088684696)"
Bluebonnet Studios SRO,"Foundation Communities, Inc.","Foundation Communities, Inc.",303136,2301 S Lamar Boulevard,78704,5,Moderate,1/4 Mile,107,107,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,08/29/2014,40,08/29/1954,08/29/2014,,,,22,21,64,0,0,0,0,0,$3994420.00,507.77%,No,No,No,No,No,No,Yes,No,No,No,"(30.2469873500171, -97.775516514267196)"
4810 West Wind Trail,Frameworks Community Development Corporation,Frameworks Community Development Corporation,509554,4810 West Wind Trail,78745,5,Moderate,1/4 Mile,4,4,FourPlex,RHDA,Rental,Project Complete / Final C.of O. Received,12/30/2014,99,02/28/2014,,,,,0,0,4,0,0,0,0,0,$135185.00,514.95%,No,No,No,No,No,No,No,No,No,No,"(30.2279505045048, -97.802996584841793)"
1615 East 7th Street,"1615 East 7th Street, LLC","1615 East 7th Street, LLC",881216,1615 E 7th Street,78702,3,High,1/4 Mile,19,5,Multifamily,Developer Incentive,Ownership,Building Permit Issued / Project Underway,,40,,10/13/2014,,,,0,0,0,0,0,5,0,14,$0.00,0%,No,No,No,No,No,No,No,Yes,No,No,"(30.263268452405001, -97.725022050227906)"
Lucero Apartments (formerly Oak Creek Village),"2013 Travis Oak Creek, LP","Eureka Holdings, LLC",845682,2324 Wilson Street,78704,9,Moderate,1/4 Mile,173,173,Multifamily,RHDA,Rental,Building Permit Issued / Project Underway,11/16/2009,40,11/16/2049,01/16/2013,,,,18,0,70,85,0,0,0,0,$2000000.00,855.21%,No,No,No,No,No,No,Yes,No,No,No,"(30.242222473744398, -97.756260797953104)"
The Chicon (aka 'Chicon Corridor'),Chestnut Neighborhood Revitalization Corporation,Chestnut Neighborhood Revitalization Corporation,197290,1212 Chicon Street,78702,1,Very Low,1/4 Mile,15,12,Single Family,A&D,Ownership,Building Permit Issued / Project Underway,,5,,09/26/2011,,,,0,0,0,0,0,12,0,3,$3962717.00,137.19%,No,No,No,No,No,No,Yes,No,No,Yes,"(30.274369619321501, -97.720225872284402)"
AHFC - SF,Austin Housing Finance Corporation,Austin Housing Finance Corporation,320601,403 Tilbury Lane,78745,3,Low,1/2 Mile,1,1,Single Family,Developer Incentive,Ownership,Affordability Period Expired,03/20/2013,1,03/20/2014,07/23/2012,03/20/2013,$0.00,,0,0,0,0,0,1,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.209648999999999, -97.766461000000007)"
Legacy at The Lake,,Windsor Communities,781428,43 Rainey Street,78721,9,Low,1/4 Mile,187,9,Multifamily,Developer Incentive,Rental,Affordability Period Expired,02/25/2009,1,02/25/2010,,02/25/2009,,,0,0,0,0,0,9,0,178,$0.00,0%,No,No,Yes,No,No,No,No,No,No,No,"(30.255998551184799, -97.739481405071402)"
Austin Children's Shelter,Austin Children's Shelter,Austin Children's Shelter,800820,4800 Manor Road,78723,9,Very Low,Neither,28,28,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,06/26/2008,99,06/26/2007,,,,,0,0,28,0,0,0,0,0,$1000000.00,118.15%,No,No,No,No,No,No,No,No,No,No,"(30.2956389135677, -97.689067926575007)"
Callaway House Austin,ACC OP (West Campus) LLC,ACC OP (West Campus) LLC,891234,505 W 22nd Street,78705,9,Moderate,1/4 Mile,219,22,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,09/17/2013,15,09/17/2028,05/04/2011,09/17/2013,$87795.00,05/24/2013 12:00:00 AM,0,0,0,0,0,22,0,197,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284941123276699, -97.743420905665303)"
Uptown Lofts,"Uptown Lofts, LLC","Uptown Lofts, LLC",223212,5117 N Lamar Boulevard,78751,9,High,1/4 Mile,23,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,08/19/2011,40,08/19/1951,01/13/2011,08/19/2011,,,0,0,0,0,0,2,0,21,$0.00,0%,No,No,No,No,No,No,Yes,No,No,Yes,"(30.319351829652401, -97.730136697725797)"
ADU,Austin Community Design and Development Center,Austin Community Design and Development Center,225352,5413 Duval Street,78751,9,High,1/4 Mile,1,1,ADU,Developer Incentive,Rental,Project Complete / Final C.of O. Received,07/12/2016,5,07/12/2021,05/20/2015,07/12/2016,,,0,0,0,0,0,1,0,0,$0.00,0%,No,No,No,No,No,No,Yes,No,No,No,"(30.318292917026799, -97.716965226029103)"
5453 Burnet Road,Ardent Residential,Ardent Residential,229557,5453 Burnet Road,78756,7,Very High,1/4 Mile,103,10,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/19/2014,40,11/19/1954,09/28/2011,11/19/2014,,,0,0,0,10,0,0,0,93,$0.00,0%,No,No,No,No,No,No,No,No,No,Yes,"(30.3301222027644, -97.739569287163505)"
West Koenig Flats,"Bel Koenig Flats, LLC","Stillwater Hyde Park Development, LLC",228148,5608 Ave F,78751,4,,Neither,210,21,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,11/01/2018,40,11/01/1958,11/15/2016,03/16/2016,$0.00,,0,0,0,0,0,21,0,189,$0.00,,No,No,No,No,No,No,No,No,No,Yes,"(30.321814, -97.719384000000005)"
Z-Lofts,Metrohill Enterprises LLC,Metrohill Enterprises LLC,215277,5612 Springdale Road,78723,1,Very Low,1/4 Mile,74,7,Multifamily,Developer Incentive,Ownership,Project Certified / Loan Executed,,1,,12/17/2015,,$0.00,,0,0,0,0,0,7,0,67,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.299948000000001, -97.673574000000002)"
5803-D Sweeney Circle,Green Doors,Green Doors,217254,5803 Sweeney Circle,78723,1,Very Low,1/4 Mile,1,1,FourPlex,Developer Incentive,Rental,Building Permit Issued / Project Underway,,5,,05/23/2016,,$0.00,,0,0,0,1,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.304963000000001, -97.678978999999998)"
Jefferson at West Campus,JPI Development Services,JPI Development Services,891244,600 W 26th Street,78705,9,High,1/4 Mile,364,36,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/09/2008,15,10/09/2023,08/31/2006,10/09/2008,$57766.00,07/24/2006 12:00:00 AM,0,0,0,0,0,36,0,328,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.291110223867602, -97.743463676348398)"
607 West St. Johns Avenue,607 W. St. Johns LLC,607 W. St. Johns LLC,751947,607 W St Johns Avenue,78752,4,High,1/4 Mile,10,1,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,05/30/2014,,,,0,0,0,1,0,0,0,9,$0.00,0%,No,No,No,No,No,No,No,Yes,No,No,"(30.337914999999999, -97.715424999999996)"
Alexander Oaks Apartments,Housing Authority of Travis County,Housing Authority of Travis County,311562,6119 Valiant Circle,78749,8,High,1/4 Mile,51,51,Duplex,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,02/23/2016,,$0.00,,0,0,0,51,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.233792999999999, -97.851946999999996)"
Austin Travis County MHMR,Austin Travis County Integral Care,Austin Travis County MHMR Center,230016,6222 N Lamar Boulevard,78757,7,Very Low,1/4 Mile,37,37,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,01/31/2009,99,01/31/2008,,,,,0,0,37,0,0,0,0,0,$2300000.00,31.37%,No,No,No,No,No,No,No,No,No,No,"(30.331229250761702, -97.723509712333296)"
6444 Burnet Road,6444 Burnet Road LLC,6444 Burnet Road LLC,233430,6444 Burnet Road,78757,7,Very High,1/4 Mile,38,4,Multifamily,Developer Incentive,Rental,Building Permit Issued / Project Underway,,40,,10/07/2014,,,,0,0,0,0,0,4,0,34,$0.00,0%,No,No,No,No,No,No,No,No,No,Yes,"(30.340775386699001, -97.739213889146995)"
6500 Burnet Apartments,11th & Grand LLC,11th & Grand LLC,233429,6500 Burnet Road,78757,7,Very High,1/4 Mile,52,5,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,09/15/2015,,$0.00,,0,0,0,5,0,0,0,47,$0.00,,No,No,No,No,No,No,No,No,No,Yes,"(30.340945000000001, -97.739348000000007)"
Guadalupe Court Apartments,NMF VI,Austin Travis County Integral Care,230140,6607 Guadalupe Street,78752,4,Low,1/4 Mile,15,15,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,05/18/2006,10,05/18/2016,,,,,0,0,15,0,0,0,0,0,$180000.00,167.78%,No,No,No,No,No,No,No,No,No,No,"(30.332539118709199, -97.717693669323793)"
Villas on 26th,Villas on 26th Street LP,Villas on 26th Street LP,208064,800 W 26th Street,78705,9,Very High,1/4 Mile,206,21,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,03/05/2015,15,03/05/2030,09/11/2012,03/05/2015,$39422.00,12/11/2014 12:00:00 AM,0,0,0,0,0,21,0,185,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290957396040302, -97.745565047461895)"
Works at Pleasant Valley - Phase II,Lifeworks Affordable Housing Corporation,Lifeworks Affordable Housing Corporation,819544,835 N Pleasant Valley Road,78702,3,Very Low,1/4 Mile,29,29,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,10/22/2015,,$0.00,,9,0,11,0,0,9,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.264720000000001, -97.707279)"
Gaston Tract,Bill Gaston Inc.,Bill Gaston Inc.,547967,2501 W Braker Lane,78758,4,Moderate,1/2 Mile,423,14,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,07/02/2015,,$0.00,,0,0,0,14,0,0,0,409,$0.00,,No,No,No,No,Yes,No,Yes,No,No,No,"(30.389516, -97.718506000000005)"
Palms at North Lamar,"TMG - TX Austin I, L.P.",TMG - TX Austin I,241872,8600 N Lamar Boulevard,78753,4,Very Low,1/4 Mile,476,215,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,06/10/2010,99,06/10/2009,,,,,22,0,193,0,0,0,0,261,$3000000.00,1072.02%,No,No,No,No,No,No,No,No,No,No,"(30.354653308810501, -97.704330445112006)"
901 East 6th,"Osten Hall, LLC","Osten Hall, LLC",191689,901 E 6th Street,78702,3,Very Low,1/4 Mile,0,0,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,0,,,,$0.00,,0,0,0,0,0,0,0,0,$0.00,,No,No,No,No,No,No,No,Yes,No,No,"(30.265045000000001, -97.733138999999994)"
Block at Pearl - North,"Pearl Block, L.P. & Delaware Ltd. Partnership","Pearl Block, L.P. & Delware Ltd. Partnership",544572,901 W 22nd Street,78705,9,High,1/4 Mile,47,5,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/19/2008,15,12/19/2023,03/31/2006,12/18/2008,$22256.00,08/15/2007 12:00:00 AM,0,0,0,0,0,5,0,42,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.286063592410802, -97.746634148315593)"
904-908 W. 22 1/2 Street,"22 1/2 Street Partners, LP",22 1/2 Street Partners,203522,904 W 22nd Street,78705,9,Moderate,1/4 Mile,62,6,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,08/14/2009,15,08/14/2024,11/27/2007,08/14/2009,$26860.00,10/01/2009 12:00:00 AM,0,0,0,0,0,6,0,56,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.285616684605198, -97.747016846263804)"
Ellora Apartments,ECO Properties LLC,ECO Properties LLC,203650,908 W 21st Street,78705,9,High,1/4 Mile,23,2,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,12/13/2012,15,12/13/2027,10/28/2008,12/13/2012,$4454.00,06/26/2012 12:00:00 AM,0,0,0,2,0,0,0,21,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2849807633777, -97.747465894374798)"
21 Pearl,21Pearl LLC,21Pearl LLC,824410,911 W 21st Street,78705,9,Very Low,1/4 Mile,136,28,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,01/16/2014,15,01/16/2029,07/21/2006,01/16/2014,$0.00,,0,0,0,0,14,14,0,108,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.284684620424201, -97.747461470489199)"
Avon at 22nd,"Allada UNO, LLC","Allada UNO, LLC",203609,911 W 22nd Street,78705,9,High,1/4 Mile,22,2,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,02/09/2016,,$0.00,,0,0,0,2,0,0,0,20,$0.00,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.285402999999999, -97.747712000000007)"
Ruth R. Schulze House,"University of Texas Inter-Cooperative Council, Inc.","University of Texas Inter-Cooperative Council, Inc.",203608,915 W 22nd Street,78705,9,High,1/4 Mile,26,8,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,,06/08/2013,,,,0,0,8,0,0,0,0,18,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2852399837824, -97.747908960617806)"
Bridge at Cameron,"LDG Multifamily, LLC",LDG Multifamily LLC,772161,9201 Cameron Road,78754,1,Moderate,1/4 Mile,263,263,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,5,,01/07/2016,,$0.00,,0,0,0,263,0,0,0,0,$0.00,,No,No,No,No,No,No,Yes,No,No,No,"(30.348196000000002, -97.675520000000006)"
The Corner,The Corner Development LLC,The Corner Development LLC,206095,2508 San Gabriel Street,78705,9,Very High,1/4 Mile,210,42,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,15,,01/28/2014,,,,0,0,21,21,0,0,0,168,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.289475179078899, -97.747831169658596)"
Block on Leon,CWS Capital Partners LLC,CWS Capital Partners LLC,206061,2510  Leon Street,78705,9,Very High,1/4 Mile,138,28,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,02/09/2009,15,02/09/2024,,02/09/2009,$0.00,,0,0,14,0,0,14,0,110,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290518612249102, -97.749444896529496)"
Texan at Pearl,"Texan Properties, LLC","Texan Properties, LLC",206317,2515 Pearl Street,78705,9,High,1/4 Mile,81,8,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,10/15/2008,15,10/15/2023,,10/15/2008,$34418.00,08/01/2008 12:00:00 AM,0,0,0,0,0,8,0,73,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290649448918199, -97.746250734786898)"
The Nine at Austin,Scannell Development Company,Scannell Development Company,206064,2518 Leon Street,78705,9,Very High,1/4 Mile,98,10,Multifamily,Developer Incentive,Rental,Project Certified / Loan Executed,,40,12/31/1999,04/25/2016,,$0.00,,0,0,0,10,0,0,0,88,,,No,No,No,No,No,No,Yes,No,Yes,No,"(30.290996, -97.749341999999999)"
Rosewood Anointed Acres,Rosewood Anointed Acres LP,Rosewood Anointed Acres LP,197695,2604 Rosewood Avenue,78702,1,Very Low,1/4 Mile,80,72,Multifamily,Developer Incentive,Rental,Project Cancelled,,5,,01/05/2012,,,,8,0,0,0,0,64,0,8,,,No,No,No,No,No,No,Yes,No,No,No,"(30.272967000000001, -97.706062000000003)"
2608 Salado Multifamily,"Kline Ventures, LP","Kline Ventures, LP",208087,2608 Salado Street,78705,9,Very High,1/4 Mile,7,1,Multifamily,Developer Incentive,Rental,Project Complete / Final C.of O. Received,08/31/2011,15,08/31/2026,10/04/2010,08/31/2011,$6447.00,06/08/2012 12:00:00 AM,0,0,0,0,0,1,0,6,$0.00,0%,No,No,No,No,No,No,Yes,No,Yes,No,"(30.2916194866166, -97.745528280299595)"
